acpi-support-base	0.143-5.1	all	install ok installed
acpid	1:2.0.33-2+b1	amd64	install ok installed
adduser	3.134	all	install ok installed
alsa-utils	1.2.8-1	amd64	install ok installed
apparmor	3.0.8-3	amd64	deinstall ok config-files
apt	2.6.1	amd64	install ok installed
apt-utils	2.6.1	amd64	install ok installed
base-files	12.4+deb12u2	amd64	install ok installed
base-passwd	3.6.1	amd64	install ok installed
bash	5.2.15-2+b2	amd64	install ok installed
bsdextrautils	2.38.1-5+b1	amd64	install ok installed
bsdutils	1:2.38.1-5+b1	amd64	install ok installed
busybox	1:1.35.0-4+b3	amd64	install ok installed
bzip2	1.0.8-5+b1	amd64	install ok installed
ca-certificates	20230311	all	install ok installed
connman	1.41-3	amd64	install ok installed
console-setup	1.221	all	install ok installed
console-setup-linux	1.221	all	install ok installed
coreutils	9.1-1	amd64	install ok installed
cpio	2.13+dfsg-7.1	amd64	install ok installed
cron	3.0pl1-162	amd64	install ok installed
cron-daemon-common	3.0pl1-162	all	install ok installed
dash	0.5.12-2	amd64	install ok installed
dbus	1.14.10-1~deb12u1	amd64	install ok installed
dbus-bin	1.14.10-1~deb12u1	amd64	install ok installed
dbus-daemon	1.14.10-1~deb12u1	amd64	install ok installed
dbus-session-bus-common	1.14.10-1~deb12u1	all	install ok installed
dbus-system-bus-common	1.14.10-1~deb12u1	all	install ok installed
debconf	1.5.82	all	install ok installed
debian-archive-keyring	2023.3+deb12u1	all	install ok installed
debianutils	5.7-0.5~deb12u1	amd64	install ok installed
diffutils	1:3.8-4	amd64	install ok installed
discover	2.1.2-10	amd64	install ok installed
discover-data	2.2013.01.13	all	install ok installed
dmidecode	3.4-1	amd64	install ok installed
dmsetup	2:1.02.185-2	amd64	install ok installed
dnsmasq	2.89-1	all	install ok installed
dnsmasq-base	2.89-1	amd64	install ok installed
dosfstools	4.2-1	amd64	install ok installed
dpkg	1.21.22	amd64	install ok installed
dvd+rw-tools	7.1-14+b1	amd64	install ok installed
e2fsprogs	1.47.0-2	amd64	install ok installed
eject	2.38.1-5+b1	amd64	install ok installed
fdisk	2.38.1-5+b1	amd64	install ok installed
file	1:5.44-3	amd64	install ok installed
findutils	4.9.0-4	amd64	install ok installed
firmware-linux-free	20200122-1	all	install ok installed
fuse3	3.14.0-4	amd64	install ok installed
gcc-12-base	12.2.0-14	amd64	install ok installed
gddrescue	1.27-1	amd64	install ok installed
genisoimage	9:1.1.11-3.4	amd64	install ok installed
gpart	1:0.3-10	amd64	install ok installed
gpgv	2.2.40-1.1	amd64	install ok installed
gpm	1.20.7-10+b1	amd64	install ok installed
grep	3.8-5	amd64	install ok installed
groff-base	1.22.4-10	amd64	install ok installed
growisofs	7.1-14+b1	amd64	install ok installed
grub-common	2.06-13+deb12u1	amd64	deinstall ok config-files
grub-pc	2.06-13+deb12u1	amd64	deinstall ok config-files
grub2-common	2.06-13+deb12u1	amd64	deinstall ok config-files
gzip	1.12-1	amd64	install ok installed
hdparm	9.65+ds-1	amd64	install ok installed
hostname	3.23+nmu1	amd64	install ok installed
htop	3.2.2-2	amd64	install ok installed
ifupdown	0.8.41	amd64	install ok installed
init	1.65.2	amd64	install ok installed
init-system-helpers	1.65.2	all	install ok installed
initramfs-tools	0.142	all	install ok installed
initramfs-tools-core	0.142	all	install ok installed
installation-report	2.89	all	deinstall ok config-files
intel-microcode	3.20230808.1~deb12u1	amd64	install ok installed
iproute2	6.1.0-3	amd64	install ok installed
iptables	1.8.9-2	amd64	install ok installed
iputils-ping	3:20221126-1	amd64	install ok installed
isc-dhcp-client	4.4.3-P1-2	amd64	install ok installed
isc-dhcp-common	4.4.3-P1-2	amd64	install ok installed
iucode-tool	2.3.1-3	amd64	install ok installed
kbd	2.5.1-1+b1	amd64	install ok installed
keyboard-configuration	1.221	all	install ok installed
klibc-utils	2.0.12-1	amd64	install ok installed
kmod	30+20221128-1	amd64	install ok installed
laptop-detect	0.16	all	install ok installed
less	590-2	amd64	install ok installed
libacl1	2.3.1-3	amd64	install ok installed
libapparmor1	3.0.8-3	amd64	install ok installed
libapt-pkg6.0	2.6.1	amd64	install ok installed
libargon2-1	0~20171227-0.3+deb12u1	amd64	install ok installed
libasound2	1.2.8-1+b1	amd64	install ok installed
libasound2-data	1.2.8-1	all	install ok installed
libatopology2	1.2.8-1+b1	amd64	install ok installed
libattr1	1:2.5.1-4	amd64	install ok installed
libaudit-common	1:3.0.9-1	all	install ok installed
libaudit1	1:3.0.9-1	amd64	install ok installed
libblkid1	2.38.1-5+b1	amd64	install ok installed
libbpf1	1:1.1.0-1	amd64	install ok installed
libbsd0	0.11.7-2	amd64	install ok installed
libbz2-1.0	1.0.8-5+b1	amd64	install ok installed
libc-bin	2.36-9+deb12u3	amd64	install ok installed
libc-l10n	2.36-9+deb12u3	all	install ok installed
libc6	2.36-9+deb12u3	amd64	install ok installed
libcap-ng0	0.8.3-1+b3	amd64	install ok installed
libcap2	1:2.66-4	amd64	install ok installed
libcap2-bin	1:2.66-4	amd64	install ok installed
libcbor0.8	0.8.0-2+b1	amd64	install ok installed
libcom-err2	1.47.0-2	amd64	install ok installed
libcrypt1	1:4.4.33-2	amd64	install ok installed
libcryptsetup12	2:2.6.1-4~deb12u1	amd64	install ok installed
libdb5.3	5.3.28+dfsg2-1	amd64	install ok installed
libdbus-1-3	1.14.10-1~deb12u1	amd64	install ok installed
libdebconfclient0	0.270	amd64	install ok installed
libdevmapper1.02.1	2:1.02.185-2	amd64	install ok installed
libdiscover2	2.1.2-10	amd64	install ok installed
libedit2	3.1-20221030-2	amd64	install ok installed
libelf1	0.188-2.1	amd64	install ok installed
libexpat1	2.5.0-1	amd64	install ok installed
libext2fs2	1.47.0-2	amd64	install ok installed
libfdisk1	2.38.1-5+b1	amd64	install ok installed
